trial_no,average_time,threads
input_3_10_10.txt,1,36
input_3_10_10.txt,2,54
input_3_10_10.txt,4,79
input_3_10_10.txt,8,131
input_3_10_10.txt,16,298
input_5_1000_1000.txt,1,14797
input_5_1000_1000.txt,2,8638
input_5_1000_1000.txt,4,4642
input_5_1000_1000.txt,8,3713
input_5_1000_1000.txt,16,3736
input_5_10_1000.txt,1,214
input_5_10_1000.txt,2,145
input_5_10_1000.txt,4,130
input_5_10_1000.txt,8,235
input_5_10_1000.txt,16,285
input_5_1000_10.txt,1,241
input_5_1000_10.txt,2,140
input_5_1000_10.txt,4,987
input_5_1000_10.txt,8,182
input_5_1000_10.txt,16,315
input_5_1000_10.txt,16,1374
input_5_1000_10.txt,16,365
